area,bedrooms,bathrooms,location,price
1460,5,4,Kolkata,6286043
4372,3,3,Jaipur,13505744
3692,1,1,Hyderabad,15311169
1066,1,2,Ahmedabad,3992180
4044,3,2,Chennai,15173991
3771,1,2,Pune,14870407
3519,3,2,Chennai,13471380
730,2,3,Hyderabad,3580942
2285,2,1,Jaipur,6648720
1369,4,5,Ahmedabad,5414944
2991,5,5,Jaipur,10127433
3033,5,5,Ahmedabad,10668236
1784,1,1,Kolkata,6285553
3985,1,2,Kolkata,12963684
4717,4,5,Jaipur,14618799
3504,5,5,Mumbai,26454105
1074,2,3,Mumbai,8099486
1682,2,3,Ahmedabad,6158408
3158,3,3,Pune,12795749
2647,2,1,Delhi,15322000
3347,5,5,Pune,14592971
1575,3,2,Hyderabad,7477260
2406,1,1,Bangalore,12646649
789,4,4,Jaipur,3811852
3334,5,4,Chennai,13015537
3605,2,3,Pune,14428704
2499,3,4,Ahmedabad,8948393
1867,2,1,Jaipur,5788590
2128,1,1,Kolkata,6872566
3802,2,2,Ahmedabad,12223351
4156,2,1,Mumbai,29702935
4490,4,3,Bangalore,23969471
1246,2,3,Jaipur,4363602
3488,4,3,Pune,14407612
3035,3,2,Bangalore,16346858
1200,1,2,Hyderabad,5238952
2963,4,5,Pune,13029282
2661,2,3,Delhi,15723949
841,3,2,Pune,3875738
2641,4,4,Hyderabad,12089295
3424,4,4,Jaipur,11073777
3212,3,4,Hyderabad,14049813
1963,1,2,Kolkata,6818089
2078,3,3,Ahmedabad,7076431
3156,1,1,Delhi,17688942
1375,1,1,Hyderabad,5712390
4614,2,2,Hyderabad,19228876
634,4,4,Hyderabad,3784626
3752,3,2,Pune,15291747
2555,1,1,Mumbai,18392602
2185,3,2,Bangalore,11717978
4543,4,4,Pune,18712209
3673,3,3,Kolkata,13038819
1621,5,5,Kolkata,7079907
4061,3,3,Mumbai,29355427
3213,1,1,Jaipur,9247668
4443,2,3,Hyderabad,18481616
2100,5,5,Ahmedabad,8306895
761,2,2,Chennai,3400786
4897,2,1,Pune,19109967
2581,4,4,Kolkata,9938757
1595,2,2,Ahmedabad,5582260
3942,2,1,Mumbai,28401454
4398,3,4,Jaipur,13402670
